year,rus_av_grain_prod,ind_output_available,grain_prod_available
1795,,1,1
1796,,0,0
1797,,0,0
1798,,0,0
1799,,0,0
1800,,0,1
1801,3.04,0,1
1802,3.4000001,0,1
1803,3.6500001,0,1
1804,4.04,0,1
1805,3.2,0,1
1806,3.47,0,1
1807,3.73,0,1
1808,3.8900001,0,1
1809,3.3299999,0,1
1810,3.4000001,0,1
1811,2.8499999,0,1
1812,3.4000001,0,1
1813,3.4300001,0,1
1814,4,0,1
1815,3.0999999,0,1
1816,3.4000001,0,1
1817,3.7,0,1
1818,4.0999999,0,1
1819,4,0,1
1820,3.4000001,0,1
1821,3.25,0,1
1822,3.0999999,0,1
1823,2.9000001,0,1
1824,3.5,0,1
1825,3.5,0,1
1826,3.6700001,0,1
1827,3.6099999,0,1
1828,3.9000001,0,1
1829,3.75,0,1
1830,2.9100001,0,0
1831,3.2,0,0
1832,2.8,0,0
1833,2.3800001,0,0
1834,3.6199999,0,0
1835,3.9200001,0,0
1836,4.0999999,0,0
1837,3.98,0,0
1838,3.9300001,0,0
1839,2.6700001,0,0
1840,3.8199999,0,1
1841,3.4000001,0,1
1842,4.3899999,0,1
1843,4.3600001,0,1
1844,3.8099999,0,1
1845,3.4200001,0,1
1846,3.3800001,0,1
1847,3.5999999,0,1
1848,2.72,0,1
1849,4.0300002,1,1
1850,2.8399999,0,1
1851,4,0,1
1852,3.8299999,0,1
1853,3.6099999,0,1
1854,3.51,0,1
1855,2.5999999,0,1
1856,3.26,1,1
1857,3.95,0,1
1858,4.0799999,1,1
1859,2.8699999,0,1
1860,3.78,0,1
1861,3.51,0,1
1862,3.5699999,0,1
1863,4.2600002,0,1
1864,3.28,0,1
1865,3.01,0,1
1866,3.8399999,0,1
1867,3.0999999,0,0
1868,3.75,0,0
1869,4.0599999,0,0
1870,4.5900002,0,1
1871,3.52,0,1
1872,3.8800001,0,1
1873,3.9400001,0,1
1874,4.3400002,0,1
1875,3.3800001,0,1
1876,3.8499999,0,1
1877,4.2600002,0,0
1878,4.4899998,0,0
1879,3.78,0,0
1880,3.6500001,0,0
1881,4.73,0,0
1882,4.3099999,1,0
1883,4.04,1,1
1884,4.3000002,0,1
1885,3.6500001,1,1
1886,4.2800002,0,1
1887,4.8699999,0,1
1888,4.6900001,0,1
1889,3.6500001,0,1
1890,4.1399999,0,1
1891,3.26,0,1
1892,4,0,1
1893,5.6300001,0,1
1894,5.6799998,0,1
1895,5.04,0,1
1896,5.04,0,1
1897,4.1199999,1,1
1898,4.7600002,0,1
1899,5.4000001,0,1
1900,5.0100002,0,1
1901,4.0799999,,
1902,5.77,,
1903,5.1999998,,
1904,6.1300001,,
1905,4.8600001,,
1906,4.0500002,,
1907,4.8800001,,
1908,5.04,,
1909,6.3299999,,
1910,5.8699999,,
1911,4.1700001,,
1912,6.2399998,,
1913,6.75,,
1914,5.0599999,,
